,Body.I__Ixx,Body.I__Iyy,Body.I__Izz,Body.mass,Body.pos__x,Body.pos__z,Wheel.fl.pos__x,Wheel.fl.pos__y,Wheel.rl.pos__y,Response_Time_YawRate,Response_Time_LatAcc,Peak_RollRate,SteadyState_SideSlip,SteadyState_Roll,SteadyState_SWA,Delay_YawRate_LatAcc,Gain_YawRate_SWA,Gain_LatAcc_SWA,Overshoot_Ratio_YawRate,Overshoot_Ratio_LatAcc,Overshoot_Ratio_Roll
74,482.77334585999625,3761.590641980256,1707.1221488877975,1647.3730976077075,2.1587550587960975,0.7174258330965836,3.259183263405889,0.7179914409685165,0.6463040651742932,0.0737977218059509,0.19353816984884276,24.47139012535308,-0.5463687850097301,4.330138639128069,43.51492536528114,0.11974044804289186,28.074227752068108,1.3724237997218376,48.42597411972353,12.386973420047887,24.40141934417245
193,913.0065046594634,3128.4347064016665,5161.410962547468,1957.510875962144,2.29694087113322,0.754509484409241,3.5467473231473816,0.7514784020852807,0.676619984936956,0.11900686245582381,0.27843242243815336,21.166348152420884,-0.5916051562513037,4.839519298916375,50.04221847009656,0.15942555998232955,24.465778787956626,1.194895010674704,33.639658783667784,11.715652453216524,21.324400991903918
200,659.655864721637,4289.688960100765,3274.287542124462,2079.2060709682496,2.3148366941445757,0.6608493969065857,3.9580763065249407,0.7227199917876939,0.6507399151981175,0.08141161911831762,0.22153328011661788,23.29402883571262,-0.7399432717018849,4.5570375275663615,46.48218599796294,0.14012166099830026,26.361744123741875,1.2809436428718508,44.34325602247491,11.873025723256074,26.847432189073928
223,854.5886942542456,3574.9447124840426,3912.871883627156,1999.6175407019548,2.224232391176454,0.7123286196593758,3.1972283838157076,0.7313159925016453,0.6584967762663122,0.11055578239798614,0.2631273033061632,22.789767264260032,-0.5439700327522978,4.818766137722852,50.97892460818292,0.15257152090817705,24.04805237598187,1.1724080561726395,38.78967491802857,11.148615081219265,24.67328346770741
274,882.4009265263326,3749.8270837837385,4140.600085054597,2068.432164428927,2.28286107816843,0.7844985367164152,3.354549824764584,0.7973959103194455,0.7180824082508769,0.10522163445791044,0.2542237049315963,23.01842733670094,-0.5416923751743634,4.681934073528275,52.646693475294114,0.14900207047368585,23.298400473582017,1.135861196399093,40.461470016502496,12.943105350614104,22.4917179951553
284,1136.5005779359103,4821.701610254965,2955.411292597913,1914.980166546632,2.1865419633612886,0.7878503687588875,3.340563484580566,0.7646584718798575,0.688617166420077,0.08609818256244761,0.21702551220500066,24.482949248338322,-0.5969586112882261,4.8385463016215,49.54014132996798,0.13092732964255305,24.853457571154838,1.2049511250989509,55.58138610607505,8.607189422825074,40.2375959752091
476,1025.2822728277283,3307.512173193084,5478.7403519145355,2074.736502245927,2.375267256793443,0.7272984220426365,3.7869222427101015,0.7716742707405662,0.6952103434219177,0.1220000006876023,0.282000000687602,19.869462460750327,-0.6103179809146096,4.52239024899045,49.66674917678831,0.1599999999999997,24.634395282454193,1.2014055842730667,33.38850767421368,11.536172575498913,24.58749023315109
479,784.1148797796756,2920.9618917671182,4672.952101073688,2035.3090258600582,2.3576290923635015,0.8096816520751924,3.3522882124416498,0.8302340425954691,0.7479739279976588,0.12200000127903321,0.2620000012790329,22.433458604485438,-0.43985224699293823,4.407716560970114,53.40120766721969,0.13999999999999968,22.952514327289233,1.1201391688915996,29.532874837892525,11.04565596532204,13.076078056753031
506,755.7145412978357,3886.249399219353,3096.0391673280137,1909.979098655173,2.022545932930993,0.693379345498963,3.0124232749636377,0.6705339359051524,0.6041283708889125,0.10299999894405643,0.25299999894405634,25.50206487533536,-0.694159615016853,5.417943196554052,48.51247753018145,0.1499999999999999,25.30925102106036,1.231455113002583,50.71969861846214,11.413542733439444,30.274940687982077
608,1205.8881061867612,4007.9855835075623,5503.191638531855,2072.6839955056244,2.0908976772836376,0.7736787888269585,3.322133755342743,0.7429975411177822,0.6695365856229386,0.12021531491428705,0.29582330776756605,21.66787657428638,-0.7848380838550068,5.393822865126834,51.03788282217982,0.175607992853279,23.99329016679615,1.1703902988091122,44.008901477294735,14.582287477488762,28.232700073037332
